person_id,name,type,total_votes,average_score,total_numbers
1118,Melanie Lynskey,MOVIE,556677.0,6.4750000000000005,4
1119,Kate Walsh,MOVIE,78184.0,4.8,3
1119,Kate Walsh,SHOW,322.0,6.2,1
1120,Nicholas Braun,MOVIE,7804.0,4.1,1
1121,Julia Garner,SHOW,332328.0,7.65,2
1122,Tom Savini,MOVIE,1472668.0,8.4,1
1127,John Malkovich,MOVIE,729579.0,6.228571428571429,7
1127,John Malkovich,SHOW,61739.0,6.7,1
1134,Maika Monroe,MOVIE,263776.0,6.3,2
1135,Keir Gilchrist,MOVIE,233165.0,6.8,1
1135,Keir Gilchrist,SHOW,81643.0,8.3,1
1136,Olivia Luccardi,MOVIE,233165.0,6.8,1
1138,Lili Sepe,MOVIE,233165.0,6.8,1
1140,Bailey Spry,MOVIE,233165.0,6.8,1
1141,Jake Weary,MOVIE,251970.0,5.066666666666666,3
1142,Debbie Williams,MOVIE,233165.0,6.8,1
1143,Carollette Phillips,MOVIE,233165.0,6.8,1
1144,Loren Bass,MOVIE,243375.0,7.199999999999999,2
1146,Daniel Zovatto,MOVIE,526789.0,6.833333333333333,3
1147,Ingrid Mortimer,MOVIE,233165.0,6.8,1
1148,Claire Sloma,MOVIE,233165.0,6.8,1
1149,Scott Norman,MOVIE,233165.0,6.8,1
1150,Joanna Bronson,MOVIE,233165.0,6.8,1
1151,Ele Bardha,MOVIE,243375.0,7.199999999999999,2
1152,Ruby Harris,MOVIE,233165.0,6.8,1
1153,Leisa Pulido,MOVIE,233165.0,6.8,1
1154,D.J. Oliver,MOVIE,233165.0,6.8,1
1155,Charles Gertner,MOVIE,233165.0,6.8,1
1157,Kourtney Bell,MOVIE,233165.0,6.8,1
1158,Alexyss Spradlin,MOVIE,233165.0,6.8,1
1159,Mike Lanier,MOVIE,233165.0,6.8,1
1160,Don Hails,MOVIE,233165.0,6.8,1
1161,Heather Fairbanks,MOVIE,233165.0,6.8,1
1163,Vincent Hogarth,MOVIE,233165.0,6.8,1
1165,Caitlin Burt,MOVIE,233165.0,6.8,1
1166,Christopher Hohman,MOVIE,233165.0,6.8,1
1167,Rich Vreeland,MOVIE,233165.0,6.8,1
1168,David Robert Mitchell,MOVIE,233165.0,6.8,1
1179,Kristen Stewart,MOVIE,701291.0,7.1,2
1181,Robert Pattinson,MOVIE,241341.0,7.199999999999999,2
1182,Peter Facinelli,MOVIE,26314.0,5.45,5
1183,Taylor Lautner,MOVIE,64255.0,5.4,2
1184,Elizabeth Reaser,MOVIE,20383.0,5.949999999999999,3
1184,Elizabeth Reaser,SHOW,226817.0,8.6,1
1186,Ashley Greene,MOVIE,15125.0,5.3,1
1188,Kellan Lutz,MOVIE,110372.0,4.65,2
1188,Kellan Lutz,SHOW,0.0,,1
1189,Nikki Reed,MOVIE,21368.0,5.2,1
1190,Billy Burke,MOVIE,111483.0,5.4,1
1190,Billy Burke,SHOW,99434.0,7.5,2
1191,Dakota Fanning,MOVIE,688596.0,6.18,5
1193,Mackenzie Foy,MOVIE,491048.0,7.5,1
1194,Michael Sheen,MOVIE,1303754.0,6.985714285714286,7
1197,Christopher Heyerdahl,MOVIE,7985.0,6.1,1
1197,Christopher Heyerdahl,SHOW,29963.0,6.85,2
1198,MyAnna Buring,MOVIE,45698.0,6.8999999999999995,3
1199,Julia Jones,MOVIE,288343.0,6.25,2
1200,Booboo Stewart,MOVIE,21948.0,6.95,2
1200,Booboo Stewart,SHOW,9461.0,8.4,1
1202,Bill Tangradi,MOVIE,600392.0,7.7,1
1204,Daniel Cudmore,MOVIE,896.0,5.7,1
1207,Rami Malek,MOVIE,333436.0,6.375,4
1223,Chadwick Boseman,MOVIE,298578.0,6.8,7
1224,T.R. Knight,MOVIE,93314.0,7.5,1
1225,Harrison Ford,MOVIE,700399.0,7.275,4
1227,Nicole Beharie,MOVIE,93314.0,7.5,1
1230,Christopher Meloni,MOVIE,308296.0,6.666666666666667,3
1230,Christopher Meloni,SHOW,61421.0,7.75,2
1231,John C. McGinley,MOVIE,535530.0,6.56,5
