index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,genre_split,country
1277,ts42077,Medici: Masters of Florence,SHOW,2016,TV-14,54,"['war', 'drama', 'history', 'romance', 'thriller', 'european']","['GB', 'IT']",3.0,tt5057130,7.9,18575.0,thriller,IT
1277,ts42077,Medici: Masters of Florence,SHOW,2016,TV-14,54,"['war', 'drama', 'history', 'romance', 'thriller', 'european']","['GB', 'IT']",3.0,tt5057130,7.9,18575.0,european,GB
1277,ts42077,Medici: Masters of Florence,SHOW,2016,TV-14,54,"['war', 'drama', 'history', 'romance', 'thriller', 'european']","['GB', 'IT']",3.0,tt5057130,7.9,18575.0,european,IT
1278,ts42687,PJ Masks,SHOW,2015,TV-G,15,"['animation', 'family', 'fantasy', 'scifi', 'action', 'european']",['GB'],5.0,tt4148744,5.4,1214.0,animation,GB
1278,ts42687,PJ Masks,SHOW,2015,TV-G,15,"['animation', 'family', 'fantasy', 'scifi', 'action', 'european']",['GB'],5.0,tt4148744,5.4,1214.0,family,GB
1278,ts42687,PJ Masks,SHOW,2015,TV-G,15,"['animation', 'family', 'fantasy', 'scifi', 'action', 'european']",['GB'],5.0,tt4148744,5.4,1214.0,fantasy,GB
1278,ts42687,PJ Masks,SHOW,2015,TV-G,15,"['animation', 'family', 'fantasy', 'scifi', 'action', 'european']",['GB'],5.0,tt4148744,5.4,1214.0,scifi,GB
1278,ts42687,PJ Masks,SHOW,2015,TV-G,15,"['animation', 'family', 'fantasy', 'scifi', 'action', 'european']",['GB'],5.0,tt4148744,5.4,1214.0,action,GB
1278,ts42687,PJ Masks,SHOW,2015,TV-G,15,"['animation', 'family', 'fantasy', 'scifi', 'action', 'european']",['GB'],5.0,tt4148744,5.4,1214.0,european,GB
1279,ts38734,Marcella,SHOW,2016,TV-MA,45,"['crime', 'drama', 'european']",['GB'],3.0,tt5269594,7.4,30373.0,crime,GB
1279,ts38734,Marcella,SHOW,2016,TV-MA,45,"['crime', 'drama', 'european']",['GB'],3.0,tt5269594,7.4,30373.0,drama,GB
1279,ts38734,Marcella,SHOW,2016,TV-MA,45,"['crime', 'drama', 'european']",['GB'],3.0,tt5269594,7.4,30373.0,european,GB
1282,ts53099,Bordertown,SHOW,2016,TV-MA,59,"['drama', 'crime', 'european']",['FI'],3.0,tt4937942,7.6,10371.0,drama,FI
1282,ts53099,Bordertown,SHOW,2016,TV-MA,59,"['drama', 'crime', 'european']",['FI'],3.0,tt4937942,7.6,10371.0,crime,FI
1282,ts53099,Bordertown,SHOW,2016,TV-MA,59,"['drama', 'crime', 'european']",['FI'],3.0,tt4937942,7.6,10371.0,european,FI
1283,ts53664,Fauda,SHOW,2015,TV-MA,40,"['war', 'thriller', 'action', 'drama']",['IL'],3.0,tt4565380,8.3,25239.0,war,IL
